chapter,image,id
R-Ladies Global,https://yt3.ggpht.com/ytc/AKedOLRM4FPiPcPBdFUmYWRqo7yOg1esPErYwRr7p4vA=s176-c-k-c0x00ffffff-no-rj-mo,UCDgj5-mFohWZ5irWSFMFcng
R-Ladies Baltimore,https://yt3.ggpht.com/ytc/AIdro_mz8Raz4KKvDCrzJZmbSvrpC-BtESsECuI_mYmwzbE=s800-c-k-c0x00ffffff-no-rj,UC9UK90FN2Q1cl0J5Kl4-7Mg
R-Ladies Philly,https://yt3.ggpht.com/ytc/AKedOLShIKBvPUKqbvm_Cpu42MDNH2ITtoZXq3BAx0kO=s176-c-k-c0x00ffffff-no-rj-mo,UCPque9BaFV9p0hcgImrYBzg
R-Ladies STL,https://yt3.ggpht.com/ytc/AKedOLSBA7rlz1yvbIJ7TVN8mNBvqcm3udVsRgky3m-g=s176-c-k-c0x00ffffff-no-rj-mo,UCQ7DcXWJm3es06U7lGmBDkw
R-Ladies Sydney,https://yt3.ggpht.com/ytc/AKedOLQnaU-dJbb14j2RE6WKICYmnhrT4ZN0Ni0vpOZH=s176-c-k-c0x00ffffff-no-rj-mo,UCkrf5iL8ef1QHe--zstechA
R-Ladies Vancouver,https://yt3.ggpht.com/QSTC0MW3A1ZAqa7kQ1bi0GG_9W9SZALcyCvmhkvRG3eH8CqjdYLTzn7m1j2IwnVRORV5Ow3h=s800-c-k-c0x00ffffff-no-rj,UCX50s91yTrcu5Ap_B7JBnFg
R-Ladies Melborne,https://yt3.ggpht.com/ytc/AKedOLSEjxZ1_-VCY0IU8oun3aewVL0mXQxqrKvBDqPo=s176-c-k-c0x00ffffff-no-rj-mo,UClC5yNEjMoE3MmbK-mrV8Ow
R-Ladies Brisbane,https://yt3.ggpht.com/4g7dLp3dfECQDjXTdYvSki076dDzmsO7t1leZEZXvmbliaMs0WzDh-ZS2Y6-ZPBTo5S-Au3CRg=s800-c-k-c0x00ffffff-no-rj,UC9oOCJe8kwkZ_6IgTmet9oQ
R-Ladies Ankara,https://yt3.ggpht.com/ytc/AKedOLSpFNB8e_iNvgc6Boc9tb7w9YYilgzw05jdX8gw=s176-c-k-c0x00ffffff-no-rj-mo,UCYuJ4Q65HlyQKO5cZXg7qDw
R-Ladies Irvine,https://yt3.ggpht.com/ytc/AKedOLSDnk2b_WtER_hgIb0wFFfZjT7jW0NZQjRZxI1J=s176-c-k-c0x00ffffff-no-rj-mo,UCIbS1KNK7jbcbQVNt7lF62A
